time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-01T05:01:10.640Z,38.8957,142.0405,41.39,4.8,mb,,124,1.42,0.8,us,usc000tb3v,2022-07-27T12:14:19.476Z,"near the east coast of Honshu, Japan",earthquake,7.3,6.7,0.05,149,reviewed,us,us
2015-01-01T06:48:29.670Z,-18.7052,169.1795,223.61,4.6,mb,,62,3.75,0.47,us,usc000tb42,2015-03-27T07:00:55.040Z,"93 km N of Isangel, Vanuatu",earthquake,9.9,9.2,0.098,31,reviewed,us,us
2015-01-01T06:54:20.570Z,3.4769,-31.7641,10,4.7,mb,,43,10.123,0.66,us,usc000tb46,2015-03-27T07:00:55.040Z,"central Mid-Atlantic Ridge",earthquake,10.7,1.8,0.078,64,reviewed,us,us
2015-01-01T07:12:44.230Z,-11.3818,162.4998,26.24,4.6,mb,,92,3.167,1.22,us,usc000tb4a,2015-03-27T07:00:55.040Z,"120 km SSE of Kirakira, Solomon Islands",earthquake,8.7,6,0.114,24,reviewed,us,us
2015-01-01T08:49:53.200Z,28.728,51.858,10.1,5.1,mb,,,,0.89,us,usc000tb4f,2022-05-03T17:08:59.863Z,"70 km W of F?r?z?b?d, Iran",earthquake,6.3,3.8,0.057,102,reviewed,teh,us
2015-01-01T09:42:00.670Z,55.2919,163.0581,10,4.8,mb,,113,3.447,1.03,us,usc000tb4i,2015-03-27T07:00:57.040Z,"110 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,8.2,1.8,0.047,140,reviewed,us,us
2015-01-01T10:07:05.770Z,-11.763,-111.054,10,4.7,mb,,119,22.357,1.13,us,usc000tb4l,2015-03-27T07:00:57.040Z,"central East Pacific Rise",earthquake,8.9,2,0.077,60,reviewed,us,us
2015-01-01T10:08:27.740Z,-13.6748,-111.9268,10,4.8,mb,,162,25.017,1.18,us,usc000tb4p,2015-03-27T07:00:57.040Z,"central East Pacific Rise",earthquake,14.4,1.7,0.08,55,reviewed,us,us
2015-01-01T12:04:49.450Z,46.9847,152.0761,95.7,4.7,mb,,127,6.375,0.88,us,usc000tb53,2015-03-27T07:00:58.040Z,"Kuril Islands",earthquake,9.5,6,0.041,185,reviewed,us,us
2015-01-01T12:16:14.570Z,40.442,-125.7746667,23.9,5.36,mw,38,271,1.086,0.19,nc,nc72373456,2022-08-07T06:50:42.353Z,"128 km W of Ferndale, California",earthquake,1.48,11.77,,8,reviewed,nc,nc
2015-01-01T13:57:14.670Z,42.572,141.8008,36.38,4.7,mb,,74,0.376,0.94,us,usc000tb5l,2015-03-27T07:01:00.040Z,"17 km ESE of Tomakomai, Japan",earthquake,4.6,6.8,0.147,14,reviewed,us,us
2015-01-01T14:50:16.810Z,-7.7986,-73.8619,155.32,4.6,mb,,106,5.093,0.71,us,usc000tb5w,2015-03-27T07:01:01.040Z,"99 km NE of Pucallpa, Peru",earthquake,6.5,8.4,0.069,68,reviewed,us,us
2015-01-01T15:07:11.150Z,-15.7017,-172.2761,55.19,4.7,mb,,239,4.036,0.91,us,usc000tg5d,2015-03-27T07:01:01.040Z,"165 km E of Hihifo, Tonga",earthquake,26.9,29,0.184,13,reviewed,us,us
2015-01-01T15:32:20.010Z,-22.8056,-175.7987,18.45,4.9,mb,,89,6.623,0.85,us,usc000tb62,2015-03-27T07:01:01.040Z,"185 km SSW of ‘Ohonua, Tonga",earthquake,7.2,3.5,0.061,94,reviewed,us,us
2015-01-01T16:41:57.610Z,8.0389,121.5466,38.99,4.5,mb,,169,4.153,0.93,us,usc000tg5i,2015-03-27T07:01:02.040Z,"74 km WNW of Siocon, Philippines",earthquake,12.5,7.5,0.22,6,reviewed,us,us
2015-01-01T16:47:50.970Z,-15.1086,-173.6375,9.53,4.8,mb,,82,5.305,0.77,us,usc000tg5h,2015-03-27T07:01:03.040Z,"95 km N of Hihifo, Tonga",earthquake,12.1,4.2,0.109,27,reviewed,us,us
2015-01-01T16:59:11.570Z,6.5721,60.2766,14.85,4.7,mb,,84,8.565,0.78,us,usc000tg5s,2015-03-27T07:01:03.040Z,"Carlsberg Ridge",earthquake,10.2,1.5,0.079,49,reviewed,us,us
2015-01-01T18:40:39.050Z,-23.9848,-177.1409,103.04,4.7,mb,,114,5.286,0.69,us,usc000tb6k,2015-03-27T07:01:04.040Z,"south of the Fiji Islands",earthquake,11,5.5,0.053,117,reviewed,us,us
2015-01-01T19:16:28.620Z,49.9202,-28.8901,10,4.5,mb,,144,16.484,0.62,us,usc000tg5p,2015-03-27T07:01:04.040Z,"northern Mid-Atlantic Ridge",earthquake,11.4,1.7,0.096,36,reviewed,us,us
2015-01-01T21:08:22.000Z,-31.072,-71.347,61.2,4.5,mwr,,,,1.55,us,usc000tb6x,2022-07-27T12:17:51.550Z,"54 km SSW of Ovalle, Chile",earthquake,5.2,3.8,0.065,23,reviewed,guc,us
2015-01-01T22:20:06.190Z,-2.2269,120.9062,35,4.6,mb,,31,2.205,0.96,us,usc000tb76,2015-03-27T07:01:06.040Z,"93 km S of Poso, Indonesia",earthquake,5.7,2,0.096,32,reviewed,us,us
